relationship_id	Interpro_Acc	Interpro_Name	Interpro_Short_Name	Interpro_Type	DGIDB_Human_Readable	Uniprot_Acc	Uniprot_Id	Uniprot_Protein_Name	Uniprot_Gene_Name	Uniprot_Evidence	Uniprot_Status	Entrez_Id	Ensembl_Id
Q04828_IPR001395	IPR001395	Aldo/keto reductase	Aldo/ket_red	Family	N/A	Q04828	AK1C1_HUMAN	Aldo-keto reductase family 1 member C1	AKR1C1	1: Evidence at protein level	Swiss-Prot	1645	ENSG00000187134
Q9UMX3_IPR000712	IPR000712	Apoptosis regulator, Bcl-2, BH	Bcl2_BH	Domain	N/A	Q9UMX3	BOK_HUMAN	Bcl-2-related ovarian killer protein	BOK	2: Evidence at transcript level	Swiss-Prot	666	ENSG00000176720
P21108_IPR000836	IPR000836	Phosphoribosyltransferase	PRibTrfase	Domain	N/A	P21108	PRPS3_HUMAN	Ribose-phosphate pyrophosphokinase 3	PRPS1L1	1: Evidence at protein level	Swiss-Prot	221823	ENSG00000229937
Q6PJ69_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q6PJ69	TRI65_HUMAN	Tripartite motif-containing protein 65	TRIM65	1: Evidence at protein level	Swiss-Prot	201292	ENSG00000141569
Q8NGS3_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGS3	OR1J1_HUMAN	Olfactory receptor 1J1	OR1J1	2: Evidence at transcript level	Swiss-Prot	347168	ENSG00000136834
Q3SY69_IPR015590	IPR015590	Aldehyde dehydrogenase domain	Aldehyde_DH_dom	Domain	N/A	Q3SY69	AL1L2_HUMAN	Mitochondrial 10-formyltetrahydrofolate dehydrogenase	ALDH1L2	1: Evidence at protein level	Swiss-Prot	160428	ENSG00000136010
Q8TDC3_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q8TDC3	BRSK1_HUMAN	Serine/threonine-protein kinase BRSK1	BRSK1	1: Evidence at protein level	Swiss-Prot	84446	ENSG00000160469
P51168_IPR001873	IPR001873	Na+ channel, amiloride-sensitive	Na+channel_ASC	Family	Ion Channel	P51168	SCNNB_HUMAN	Amiloride-sensitive sodium channel subunit beta	SCNN1B	1: Evidence at protein level	Swiss-Prot	6338	ENSG00000168447
Q494W8_IPR006202	IPR006202	Neurotransmitter-gated ion-channel ligand-binding	Neur_chan_lig-bd	Domain	Ion Channel	Q494W8	CRFM7_HUMAN	CHRNA7-FAM7A fusion protein	CHRFAM7A	2: Evidence at transcript level	Swiss-Prot	89832	ENSG00000166664
Q7L7X3_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q7L7X3	TAOK1_HUMAN	Serine/threonine-protein kinase TAO1	TAOK1	1: Evidence at protein level	Swiss-Prot	57551	ENSG00000160551
Q8NGX6_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGX6	O10R2_HUMAN	Olfactory receptor 10R2	OR10R2	2: Evidence at transcript level	Swiss-Prot	343406	ENSG00000198965
Q9H1Y3_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q9H1Y3	OPN3_HUMAN	Opsin-3	OPN3	1: Evidence at protein level	Swiss-Prot	23596	ENSG00000054277
P51812_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	P51812	KS6A3_HUMAN	Ribosomal protein S6 kinase alpha-3	RPS6KA3	1: Evidence at protein level	Swiss-Prot	6197	ENSG00000177189
P06239_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P06239	LCK_HUMAN	Tyrosine-protein kinase Lck	LCK	1: Evidence at protein level	Swiss-Prot	3932	ENSG00000182866
P23416_IPR006202	IPR006202	Neurotransmitter-gated ion-channel ligand-binding	Neur_chan_lig-bd	Domain	Ion Channel	P23416	GLRA2_HUMAN	Glycine receptor subunit alpha-2	GLRA2	2: Evidence at transcript level	Swiss-Prot	2742	ENSG00000101958
P05107_IPR002369	IPR002369	Integrin beta subunit, N-terminal	Integrin_bsu_N	Domain	N/A	P05107	ITB2_HUMAN	Integrin beta-2	ITGB2	1: Evidence at protein level	Swiss-Prot	3689	ENSG00000160255
P25092_IPR001054	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase	A/G_cyclase	Domain	N/A	P25092	GUC2C_HUMAN	Heat-stable enterotoxin receptor	GUCY2C	1: Evidence at protein level	Swiss-Prot	2984	ENSG00000070019
P48449_IPR002365	IPR002365	Terpene synthase, conserved site	Terpene_synthase_CS	Conserved_site	N/A	P48449	ERG7_HUMAN	Lanosterol synthase	LSS	1: Evidence at protein level	Swiss-Prot	4047	ENSG00000160285
Q9NRS4_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q9NRS4	TMPS4_HUMAN	Transmembrane protease serine 4	TMPRSS4	2: Evidence at transcript level	Swiss-Prot	56649	ENSG00000137648
P08172_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P08172	ACM2_HUMAN	Muscarinic acetylcholine receptor M2	CHRM2	1: Evidence at protein level	Swiss-Prot	1129	ENSG00000181072
P11473_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P11473	VDR_HUMAN	Vitamin D3 receptor	VDR	1: Evidence at protein level	Swiss-Prot	7421	ENSG00000111424
P48146_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P48146	NPBW2_HUMAN	Neuropeptides B/W receptor type 2	NPBWR2	1: Evidence at protein level	Swiss-Prot	2832	ENSG00000125522
Q15349_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q15349	KS6A2_HUMAN	Ribosomal protein S6 kinase alpha-2	RPS6KA2	1: Evidence at protein level	Swiss-Prot	6196	ENSG00000071242
Q8NCB2_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q8NCB2	CAMKV_HUMAN	CaM kinase-like vesicle-associated protein	CAMKV	2: Evidence at transcript level	Swiss-Prot	79012	ENSG00000164076
Q9H2J7_IPR000175	IPR000175	Sodium:neurotransmitter symporter	Na/ntran_symport	Family	Transporter 	Q9H2J7	S6A15_HUMAN	Sodium-dependent neutral amino acid transporter B(0)AT2	SLC6A15	1: Evidence at protein level	Swiss-Prot	55117	ENSG00000072041
P20393_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P20393	NR1D1_HUMAN	Nuclear receptor subfamily 1 group D member 1	NR1D1	1: Evidence at protein level	Swiss-Prot	9572	ENSG00000126368
Q15111_IPR001192	IPR001192	Phosphoinositide phospholipase C	Pinositol_PLipase_C	Family	Phospholipase	Q15111	PLCL1_HUMAN	Inactive phospholipase C-like protein 1	PLCL1	1: Evidence at protein level	Swiss-Prot	5334	ENSG00000115896
P43405_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P43405	KSYK_HUMAN	Tyrosine-protein kinase SYK	SYK	1: Evidence at protein level	Swiss-Prot	6850	ENSG00000165025
A8MPY1_IPR006202	IPR006202	Neurotransmitter-gated ion-channel ligand-binding	Neur_chan_lig-bd	Domain	Ion Channel	A8MPY1	GBRR3_HUMAN	Gamma-aminobutyric acid receptor subunit rho-3	GABRR3	2: Evidence at transcript level	Swiss-Prot	200959	N/A
Q16706_IPR000602	IPR000602	Glycoside hydrolase, family 38, core	Glyco_hydro_38_core	Domain	N/A	Q16706	MA2A1_HUMAN	Alpha-mannosidase 2	MAN2A1	1: Evidence at protein level	Swiss-Prot	4124	ENSG00000112893
P50336_IPR002937	IPR002937	Amine oxidase	Amino_oxidase	Domain	N/A	P50336	PPOX_HUMAN	Protoporphyrinogen oxidase	PPOX	1: Evidence at protein level	Swiss-Prot	5498	ENSG00000143224
Q9UBL9_IPR001429	IPR001429	P2X purinoreceptor	P2X_purnocptor	Family	N/A	Q9UBL9	P2RX2_HUMAN	P2X purinoceptor 2	P2RX2	2: Evidence at transcript level	Swiss-Prot	22953	ENSG00000187848
P49356_IPR001330	IPR001330	Prenyltransferase/squalene oxidase	Prenyltrans	Repeat	N/A	P49356	FNTB_HUMAN	Protein farnesyltransferase subunit beta	FNTB	1: Evidence at protein level	Swiss-Prot	2342	ENSG00000257365
O00555_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	O00555	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	CACNA1A	1: Evidence at protein level	Swiss-Prot	773	ENSG00000141837
Q9Y4K0_IPR001190	IPR001190	Speract/scavenger receptor	Srcr_rcpt	Domain	N/A	Q9Y4K0	LOXL2_HUMAN	Lysyl oxidase homolog 2	LOXL2	1: Evidence at protein level	Swiss-Prot	4017	ENSG00000134013
Q8NGD4_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGD4	OR4K1_HUMAN	Olfactory receptor 4K1	OR4K1	2: Evidence at transcript level	Swiss-Prot	79544	ENSG00000155249
Q8NGY9_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGY9	OR2L8_HUMAN	Olfactory receptor 2L8	OR2L8	2: Evidence at transcript level	Swiss-Prot	391190	ENSG00000196936
P25025_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P25025	CXCR2_HUMAN	C-X-C chemokine receptor type 2	CXCR2	1: Evidence at protein level	Swiss-Prot	3579	ENSG00000180871
Q8NH54_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NH54	O56A3_HUMAN	Olfactory receptor 56A3	OR56A3	1: Evidence at protein level	Swiss-Prot	390083	ENSG00000184478
P08575_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	P08575	PTPRC_HUMAN	Receptor-type tyrosine-protein phosphatase C	PTPRC	1: Evidence at protein level	Swiss-Prot	5788	ENSG00000081237
P27708_IPR006130	IPR006130	Aspartate/ornithine carbamoyltransferase	Asp/Orn_carbamoylTrfase	Family	N/A	P27708	PYR1_HUMAN	Dihydroorotase	CAD	1: Evidence at protein level	Swiss-Prot	790	ENSG00000084774
Q9UGM6_IPR001412	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	aa-tRNA-synth_I_CS	Conserved_site	N/A	Q9UGM6	SYWM_HUMAN	Tryptophan--tRNA ligase, mitochondrial	WARS2	1: Evidence at protein level	Swiss-Prot	10352	ENSG00000116874
Q9UNH5_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	Q9UNH5	CC14A_HUMAN	Dual specificity protein phosphatase CDC14A	CDC14A	1: Evidence at protein level	Swiss-Prot	8556	ENSG00000079335
Q99572_IPR001429	IPR001429	P2X purinoreceptor	P2X_purnocptor	Family	N/A	Q99572	P2RX7_HUMAN	P2X purinoceptor 7	P2RX7	1: Evidence at protein level	Swiss-Prot	5027	ENSG00000089041
Q9NYY3_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q9NYY3	PLK2_HUMAN	Serine/threonine-protein kinase PLK2	PLK2	1: Evidence at protein level	Swiss-Prot	10769	ENSG00000145632
Q9BXU3_IPR001876	IPR001876	Zinc finger, RanBP2-type	Znf_RanBP2	Domain	N/A	Q9BXU3	TX13A_HUMAN	Testis-expressed sequence 13A protein	TEX13A	2: Evidence at transcript level	Swiss-Prot	56157	ENSG00000133149
O43525_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	O43525	KCNQ3_HUMAN	Potassium voltage-gated channel subfamily KQT member 3	KCNQ3	1: Evidence at protein level	Swiss-Prot	3786	ENSG00000184156
Q8NH94_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NH94	OR1L1_HUMAN	Olfactory receptor 1L1	OR1L1	2: Evidence at transcript level	Swiss-Prot	26737	ENSG00000173679
O15151_IPR001876	IPR001876	Zinc finger, RanBP2-type	Znf_RanBP2	Domain	N/A	O15151	MDM4_HUMAN	Protein Mdm4	MDM4	1: Evidence at protein level	Swiss-Prot	4194	ENSG00000198625
Q6QNK2_IPR000832	IPR000832	GPCR, family 2, secretin-like	GPCR_2_secretin-like	Family	G Protein Coupled Receptor	Q6QNK2	GP133_HUMAN	Probable G-protein coupled receptor 133	GPR133	2: Evidence at transcript level	Swiss-Prot	283383	ENSG00000111452
Q16829_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	Q16829	DUS7_HUMAN	Dual specificity protein phosphatase 7	DUSP7	1: Evidence at protein level	Swiss-Prot	1849	ENSG00000164086
P09884_IPR006134	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	DNA-dir_DNA_pol_B_multi_dom	Domain	Dna Directed Dna Polymerase	P09884	DPOLA_HUMAN	DNA polymerase alpha catalytic subunit	POLA1	1: Evidence at protein level	Swiss-Prot	5422	ENSG00000101868
P00533_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P00533	EGFR_HUMAN	Epidermal growth factor receptor	EGFR	1: Evidence at protein level	Swiss-Prot	1956	ENSG00000146648
Q8NGY2_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGY2	OR6K2_HUMAN	Olfactory receptor 6K2	OR6K2	2: Evidence at transcript level	Swiss-Prot	81448	ENSG00000196171
P57727_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P57727	TMPS3_HUMAN	Transmembrane protease serine 3	TMPRSS3	1: Evidence at protein level	Swiss-Prot	64699	ENSG00000160183
P48449_IPR001330	IPR001330	Prenyltransferase/squalene oxidase	Prenyltrans	Repeat	N/A	P48449	ERG7_HUMAN	Lanosterol synthase	LSS	1: Evidence at protein level	Swiss-Prot	4047	ENSG00000160285
P56730_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P56730	NETR_HUMAN	Neurotrypsin	PRSS12	2: Evidence at transcript level	Swiss-Prot	8492	ENSG00000164099
Q5VT25_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q5VT25	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha	CDC42BPA	1: Evidence at protein level	Swiss-Prot	8476	ENSG00000143776
O15519_IPR002398	IPR002398	Peptidase C14, caspase precursor p45	Pept_C14_p45	Family	Protease	O15519	CFLAR_HUMAN	CASP8 and FADD-like apoptosis regulator subunit p43	CFLAR	1: Evidence at protein level	Swiss-Prot	8837	ENSG00000003402
Q6XPS3_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	Q6XPS3	TPTE2_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2	TPTE2	1: Evidence at protein level	Swiss-Prot	93492	ENSG00000132958
P25024_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P25024	CXCR1_HUMAN	C-X-C chemokine receptor type 1	CXCR1	1: Evidence at protein level	Swiss-Prot	3577	ENSG00000163464
Q9ULZ3_IPR002398	IPR002398	Peptidase C14, caspase precursor p45	Pept_C14_p45	Family	Protease	Q9ULZ3	ASC_HUMAN	Apoptosis-associated speck-like protein containing a CARD	PYCARD	1: Evidence at protein level	Swiss-Prot	29108	ENSG00000103490
Q6VAB6_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q6VAB6	KSR2_HUMAN	Kinase suppressor of Ras 2	KSR2	1: Evidence at protein level	Swiss-Prot	283455	ENSG00000171435
P42263_IPR001320	IPR001320	Ionotropic glutamate receptor	Iontro_glu_rcpt	Domain	N/A	P42263	GRIA3_HUMAN	Glutamate receptor 3	GRIA3	1: Evidence at protein level	Swiss-Prot	2892	ENSG00000125675
Q02790_IPR001179	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	PPIase_FKBP_dom	Domain	N/A	Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	FKBP4	1: Evidence at protein level	Swiss-Prot	2288	ENSG00000004478
P19634_IPR004709	IPR004709	Na+/H+ exchanger	NaH_exchanger	Family	Exchanger	P19634	SL9A1_HUMAN	Sodium/hydrogen exchanger 1	SLC9A1	1: Evidence at protein level	Swiss-Prot	6548	ENSG00000090020
P41146_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P41146	OPRX_HUMAN	Nociceptin receptor	OPRL1	1: Evidence at protein level	Swiss-Prot	4987	ENSG00000125510
Q4KWH8_IPR001192	IPR001192	Phosphoinositide phospholipase C	Pinositol_PLipase_C	Family	Phospholipase	Q4KWH8	PLCH1_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	PLCH1	1: Evidence at protein level	Swiss-Prot	23007	ENSG00000114805
P80404_IPR005814	IPR005814	Aminotransferase class-III	Aminotrans_3	Family	N/A	P80404	GABT_HUMAN	4-aminobutyrate aminotransferase, mitochondrial	ABAT	1: Evidence at protein level	Swiss-Prot	18	ENSG00000183044
Q14995_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	Q14995	NR1D2_HUMAN	Nuclear receptor subfamily 1 group D member 2	NR1D2	1: Evidence at protein level	Swiss-Prot	9975	ENSG00000174738
P54750_IPR002073	IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	PDEase_catalytic_dom	Domain	N/A	P54750	PDE1A_HUMAN	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A	PDE1A	2: Evidence at transcript level	Swiss-Prot	5136	ENSG00000115252
P10398_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P10398	ARAF_HUMAN	Serine/threonine-protein kinase A-Raf	ARAF	1: Evidence at protein level	Swiss-Prot	369	ENSG00000078061
Q9NWM8_IPR001179	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	PPIase_FKBP_dom	Domain	N/A	Q9NWM8	FKB14_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP14	FKBP14	1: Evidence at protein level	Swiss-Prot	55033	ENSG00000106080
P43354_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P43354	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	NR4A2	1: Evidence at protein level	Swiss-Prot	4929	ENSG00000153234
O60729_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	O60729	CC14B_HUMAN	Dual specificity protein phosphatase CDC14B	CDC14B	1: Evidence at protein level	Swiss-Prot	8555	ENSG00000081377
P05166_IPR000022	IPR000022	Carboxyl transferase	Carboxyl_trans	Domain	N/A	P05166	PCCB_HUMAN	Propionyl-CoA carboxylase beta chain, mitochondrial	PCCB	1: Evidence at protein level	Swiss-Prot	5096	ENSG00000114054
Q8N7C3_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q8N7C3	TRIMM_HUMAN	Probable E3 ubiquitin-protein ligase TRIML2	TRIML2	2: Evidence at transcript level	Swiss-Prot	205860	ENSG00000179046
P11388_IPR001241	IPR001241	DNA topoisomerase, type IIA	Topo_IIA	Family	N/A	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha	TOP2A	1: Evidence at protein level	Swiss-Prot	7153	ENSG00000131747
Q86VD1_IPR003594	IPR003594	ATPase-like, ATP-binding domain	ATPase-like_ATP-bd	Domain	N/A	Q86VD1	MORC1_HUMAN	MORC family CW-type zinc finger protein 1	MORC1	2: Evidence at transcript level	Swiss-Prot	27136	ENSG00000114487
Q9UN88_IPR006202	IPR006202	Neurotransmitter-gated ion-channel ligand-binding	Neur_chan_lig-bd	Domain	Ion Channel	Q9UN88	GBRT_HUMAN	Gamma-aminobutyric acid receptor subunit theta	GABRQ	2: Evidence at transcript level	Swiss-Prot	55879	ENSG00000147402
Q2M3G0_IPR001140	IPR001140	ABC transporter, transmembrane domain	ABC_transptr_TM_dom	Domain	ABC Transporter	Q2M3G0	ABCB5_HUMAN	ATP-binding cassette sub-family B member 5	ABCB5	1: Evidence at protein level	Swiss-Prot	340273	ENSG00000004846
O75578_IPR000413	IPR000413	Integrin alpha chain	Integrin_alpha	Family	N/A	O75578	ITA10_HUMAN	Integrin alpha-10	ITGA10	2: Evidence at transcript level	Swiss-Prot	8515	ENSG00000143127
Q9H0F6_IPR001876	IPR001876	Zinc finger, RanBP2-type	Znf_RanBP2	Domain	N/A	Q9H0F6	SHRPN_HUMAN	Sharpin	SHARPIN	1: Evidence at protein level	Swiss-Prot	81858	ENSG00000179526
Q15569_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	Q15569	TESK1_HUMAN	Dual specificity testis-specific protein kinase 1	TESK1	1: Evidence at protein level	Swiss-Prot	7016	ENSG00000107140
P00480_IPR006130	IPR006130	Aspartate/ornithine carbamoyltransferase	Asp/Orn_carbamoylTrfase	Family	N/A	P00480	OTC_HUMAN	Ornithine carbamoyltransferase, mitochondrial	OTC	1: Evidence at protein level	Swiss-Prot	5009	ENSG00000036473
Q8NGS7_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGS7	O13C8_HUMAN	Olfactory receptor 13C8	OR13C8	2: Evidence at transcript level	Swiss-Prot	138802	ENSG00000186943
P16435_IPR001433	IPR001433	Oxidoreductase FAD/NAD(P)-binding	OxRdtase_FAD/NAD-bd	Domain	N/A	P16435	NCPR_HUMAN	NADPH--cytochrome P450 reductase	POR	1: Evidence at protein level	Swiss-Prot	5447	ENSG00000127948
Q8N3Z0_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q8N3Z0	PRS35_HUMAN	Inactive serine protease 35	PRSS35	2: Evidence at transcript level	Swiss-Prot	167681	ENSG00000146250
P56817_IPR001969	IPR001969	Peptidase aspartic, active site	Peptidase_aspartic_AS	Active_site	Protease	P56817	BACE1_HUMAN	Beta-secretase 1	BACE1	1: Evidence at protein level	Swiss-Prot	23621	ENSG00000186318
Q8TCG5_IPR000542	IPR000542	Acyltransferase ChoActase/COT/CPT	Carn_acyl_trans	Family	N/A	Q8TCG5	CPT1C_HUMAN	Carnitine O-palmitoyltransferase 1, brain isoform	CPT1C	2: Evidence at transcript level	Swiss-Prot	126129	ENSG00000169169
Q15466_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	Q15466	NR0B2_HUMAN	Nuclear receptor subfamily 0 group B member 2	NR0B2	1: Evidence at protein level	Swiss-Prot	8431	ENSG00000131910
Q92633_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q92633	LPAR1_HUMAN	Lysophosphatidic acid receptor 1	LPAR1	1: Evidence at protein level	Swiss-Prot	1902	ENSG00000198121
Q96JK4_IPR001190	IPR001190	Speract/scavenger receptor	Srcr_rcpt	Domain	N/A	Q96JK4	HIPL1_HUMAN	HHIP-like protein 1	HHIPL1	2: Evidence at transcript level	Swiss-Prot	84439	ENSG00000182218
Q9Y271_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q9Y271	CLTR1_HUMAN	Cysteinyl leukotriene receptor 1	CYSLTR1	2: Evidence at transcript level	Swiss-Prot	10800	ENSG00000173198
P56180_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	P56180	TPTE_HUMAN	Putative tyrosine-protein phosphatase TPTE	TPTE	2: Evidence at transcript level	Swiss-Prot	7179	ENSG00000166157
P58180_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P58180	OR4D2_HUMAN	Olfactory receptor 4D2	OR4D2	2: Evidence at transcript level	Swiss-Prot	124538	ENSG00000255713
Q8NFZ3_IPR002018	IPR002018	Carboxylesterase, type B	CarbesteraseB	Domain	N/A	Q8NFZ3	NLGNY_HUMAN	Neuroligin-4, Y-linked	NLGN4Y	2: Evidence at transcript level	Swiss-Prot	22829	ENSG00000165246
Q96J65_IPR001140	IPR001140	ABC transporter, transmembrane domain	ABC_transptr_TM_dom	Domain	ABC Transporter	Q96J65	MRP9_HUMAN	Multidrug resistance-associated protein 9	ABCC12	1: Evidence at protein level	Swiss-Prot	94160	ENSG00000140798
Q99679_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q99679	GPR21_HUMAN	Probable G-protein coupled receptor 21	GPR21	2: Evidence at transcript level	Swiss-Prot	2844	ENSG00000188394
P10588_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P10588	NR2F6_HUMAN	Nuclear receptor subfamily 2 group F member 6	NR2F6	1: Evidence at protein level	Swiss-Prot	2063	ENSG00000160113
Q9BRC7_IPR001192	IPR001192	Phosphoinositide phospholipase C	Pinositol_PLipase_C	Family	Phospholipase	Q9BRC7	PLCD4_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	PLCD4	1: Evidence at protein level	Swiss-Prot	84812	ENSG00000115556
P00915_IPR001148	IPR001148	Alpha carbonic anhydrase	Carbonic_anhydrase_a	Domain	N/A	P00915	CAH1_HUMAN	Carbonic anhydrase 1	CA1	1: Evidence at protein level	Swiss-Prot	759	ENSG00000133742
