gene_stable_id	display_id	description	HumanReadableName
ENSG00000196954	CASP4	Caspase-4 precursor (EC 3.4.22.-) (CASP-4) (ICH-2 protease) (TX protease) (ICE(rel)-II). [Source:Uniprot/SWISSPROT;Acc:P49662]	RussLampel
ENSG00000109339	MAPK10	Mitogen-activated protein kinase 10 (EC 2.7.1.37) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (MAP kinase p49 3F12). [Source:Uniprot/SWISSPROT;Acc:P53779]	RussLampel
ENSG00000197658	NP_775857.1	N/A	RussLampel
ENSG00000197475	N/A	N/A	RussLampel
ENSG00000110536	NDUFS3	NADH-ubiquinone oxidoreductase 30 kDa subunit, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-30KD) (CI-30KD). [Source:Uniprot/SWISSPROT;Acc:O75489]	RussLampel
ENSG00000070729	CNGB1	Cyclic-nucleotide-gated cation channel 4 (CNG channel 4) (CNG-4) (CNG4) (Cyclic nucleotide-gated cation channel modulatory subunit). [Source:Uniprot/SWISSPROT;Acc:Q14028]	RussLampel
ENSG00000169919	GUSB	Beta-glucuronidase precursor (EC 3.2.1.31) (Beta-G1). [Source:Uniprot/SWISSPROT;Acc:P08236]	RussLampel
ENSG00000115129	TP53I3	tumor protein p53 inducible protein 3 [Source:RefSeq_peptide;Acc:NP_004872]	RussLampel
ENSG00000175898	EDG5	Sphingosine 1-phosphate receptor Edg-5 (S1P receptor Edg-5) (Endothelial differentiation G-protein coupled receptor 5) (Sphingosine 1-phosphate receptor 2) (S1P2). [Source:Uniprot/SWISSPROT;Acc:O95136]	RussLampel
ENSG00000174876	AMY1A	Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase). [Source:Uniprot/SWISSPROT;Acc:P04745]	RussLampel
ENSG00000117215	PLA2G2D	Group IID secretory phospholipase A2 precursor (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase GIID) (GIID sPLA2) (PLA2IID) (sPLA(2)-IID) (Secretory-type PLA, stroma-associated homolog). [Source:Uniprot/SWISSPROT;Acc:Q9UNK4]	RussLampel
ENSG00000183921	N/A	N/A	RussLampel
ENSG00000118113	MMP8	Neutrophil collagenase precursor (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8) (PMNL collagenase) (PMNL-CL). [Source:Uniprot/SWISSPROT;Acc:P22894]	RussLampel
ENSG00000198931	APRT	Adenine phosphoribosyltransferase (EC 2.4.2.7) (APRT). [Source:Uniprot/SWISSPROT;Acc:P07741]	RussLampel
ENSG00000140009	ESR2	Estrogen receptor beta (ER-beta). [Source:Uniprot/SWISSPROT;Acc:Q92731]	RussLampel
ENSG00000155897	ADCY8	Adenylate cyclase, type VIII (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Ca(2+)/calmodulin activated adenylyl cyclase). [Source:Uniprot/SWISSPROT;Acc:P40145]	RussLampel
ENSG00000171954	NP_775754.1	cytochrome P450, family 2, subfamily E, polypeptide 2 homolog [Source:RefSeq_peptide;Acc:NP_775754]	RussLampel
ENSG00000144452	ABCA12	ATP-binding cassette, sub-family A, member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12). [Source:Uniprot/SWISSPROT;Acc:Q86UK0]	RussLampel
ENSG00000176951	Q8NH62_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH62]	RussLampel
ENSG00000172487	OR8J1	Olfactory receptor 8J1. [Source:Uniprot/SWISSPROT;Acc:Q8NGP2]	RussLampel
ENSG00000166693	Q8NH86_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH86]	RussLampel
ENSG00000181072	CHRM2	Muscarinic acetylcholine receptor M2. [Source:Uniprot/SWISSPROT;Acc:P08172]	RussLampel
ENSG00000125834	STK35	Serine/threonine-protein kinase 35 (EC 2.7.1.37) (CLP-36 interacting kinase) (Clik1). [Source:Uniprot/SWISSPROT;Acc:Q8TDR2]	RussLampel
ENSG00000197388	N/A	N/A	RussLampel
ENSG00000161807	OR7G1	Olfactory receptor 7G1 (Olfactory receptor 19-15) (OR19-15). [Source:Uniprot/SWISSPROT;Acc:Q8NGA0]	RussLampel
ENSG00000130226	DPP6	Dipeptidyl aminopeptidase-like protein 6 (Dipeptidylpeptidase VI) (Dipeptidylpeptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl aminopeptidase-related protein) (DPPX). [Source:Uniprot/SWISSPROT;Acc:P42658]	RussLampel
ENSG00000172878	NP_954697.1	methionine aminopeptidase 1D [Source:RefSeq_peptide;Acc:NP_954697]	RussLampel
ENSG00000167325	RRM1	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase M1 subunit) (Ribonucleotide reductase large chain). [Source:Uniprot/SWISSPROT;Acc:P23921]	RussLampel
ENSG00000164344	KLKB1	Plasma kallikrein precursor (EC 3.4.21.34) (Plasma prekallikrein) (Kininogenin) (Fletcher factor). [Source:Uniprot/SWISSPROT;Acc:P03952]	RussLampel
ENSG00000004809	SLC22A16	solute carrier family 22, member 16 [Source:RefSeq_peptide;Acc:NP_149116]	RussLampel
ENSG00000004478	FKBP4	FK506-binding protein 4 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (p59 protein) (HSP binding immunophilin) (HBI) (FKBP52 protein) (52 kDa FK506 binding protein) (FKBP59). [Source:Uniprot/SWISSPROT;Acc:Q02790]	RussLampel
ENSG00000095015	MAP3K1	Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.1.37) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q13233]	RussLampel
ENSG00000137843	PAK6	Serine/threonine-protein kinase PAK 6 (EC 2.7.1.37) (p21-activated kinase 6) (PAK-6) (PAK-5). [Source:Uniprot/SWISSPROT;Acc:Q9NQU5]	RussLampel
ENSG00000103023	Q96LN9_HUMAN	Klkbl4 protein. [Source:Uniprot/SPTREMBL;Acc:Q6PEW0]	RussLampel
ENSG00000185097	OR4F29	Olfactory receptor 4F3. [Source:Uniprot/SWISSPROT;Acc:O95013]	RussLampel
ENSG00000168986	LTB4R	Leukotriene B4 receptor 1 (LTB4-R 1) (P2Y purinoceptor 7) (P2Y7) (Chemoattractant receptor-like 1). [Source:Uniprot/SWISSPROT;Acc:Q15722]	RussLampel
ENSG00000151704	KCNJ1	ATP-sensitive inward rectifier potassium channel 1 (Potassium channel, inwardly rectifying, subfamily J, member 1) (ATP-regulated potassium channel ROM-K) (Kir1.1). [Source:Uniprot/SWISSPROT;Acc:P48048]	RussLampel
ENSG00000197402	GABBR1	Gamma-aminobutyric acid type B receptor, subunit 1 precursor (GABA-B receptor 1) (GABA-B-R1) (Gb1). [Source:Uniprot/SWISSPROT;Acc:Q9UBS5]	RussLampel
ENSG00000180475	OR10Q1	Olfactory receptor 10Q1. [Source:Uniprot/SWISSPROT;Acc:Q8NGQ4]	RussLampel
ENSG00000121933	ADORA3	Adenosine A3 receptor. [Source:Uniprot/SWISSPROT;Acc:P33765]	RussLampel
ENSG00000197376	OR8S1	olfactory receptor, family 8, subfamily S, member 1 [Source:RefSeq_peptide;Acc:NP_001005203]	RussLampel
ENSG00000126594	DNASE1	Deoxyribonuclease-1 precursor (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I) (Dornase alfa). [Source:Uniprot/SWISSPROT;Acc:P24855]	RussLampel
ENSG00000110148	CCKBR	Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R). [Source:Uniprot/SWISSPROT;Acc:P32239]	RussLampel
ENSG00000135828	RNASEL	2-5A-dependent ribonuclease (EC 3.1.26.-) (2-5A-dependent RNase) (Ribonuclease L) (RNase L) (Ribonuclease 4). [Source:Uniprot/SWISSPROT;Acc:Q05823]	RussLampel
ENSG00000168065	SLC22A11	solute carrier family 22 member 11 [Source:RefSeq_peptide;Acc:NP_060954]	RussLampel
ENSG00000105679	G3PT_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase-2) (GAPDH-2) (HSD-35). [Source:Uniprot/SWISSPROT;Acc:O14556]	RussLampel
ENSG00000116337	AMPD2	AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L). [Source:Uniprot/SWISSPROT;Acc:Q01433]	RussLampel
ENSG00000122696	MCART1	Mitochondrial carrier triple repeat 1. [Source:Uniprot/SWISSPROT;Acc:Q9H1U9]	RussLampel
ENSG00000168938	PPIC	Peptidyl-prolyl cis-trans isomerase C (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin C). [Source:Uniprot/SWISSPROT;Acc:P45877]	RussLampel
ENSG00000168454	TXNDC2	thioredoxin domain-containing 2 [Source:RefSeq_peptide;Acc:NP_115619]	RussLampel
ENSG00000144935	TRPC1	Short transient receptor potential channel 1 (TrpC1) (TRP-1 protein). [Source:Uniprot/SWISSPROT;Acc:P48995]	RussLampel
ENSG00000092068	SLC7A8	Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2). [Source:Uniprot/SWISSPROT;Acc:Q9UHI5]	RussLampel
ENSG00000181733	OR2Z1	Olfactory receptor 2Z1. [Source:Uniprot/SWISSPROT;Acc:Q8NG97]	RussLampel
ENSG00000178537	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC). [Source:Uniprot/SWISSPROT;Acc:O43772]	RussLampel
ENSG00000137752	CASP1	Caspase-1 precursor (EC 3.4.22.36) (CASP-1) (Interleukin-1 beta convertase) (IL-1BC) (IL-1 beta converting enzyme) (ICE) (Interleukin- 1 beta converting enzyme) (p45). [Source:Uniprot/SWISSPROT;Acc:P29466]	RussLampel
ENSG00000196445	N/A	N/A	RussLampel
ENSG00000144852	NR1I2	Orphan nuclear receptor PXR (Pregnane X receptor) (Orphan nuclear receptor PAR1) (Steroid and xenobiotic receptor) (SXR). [Source:Uniprot/SWISSPROT;Acc:O75469]	RussLampel
ENSG00000196959	CES1	Liver carboxylesterase 1 precursor (EC 3.1.1.1) (Acyl coenzyme A:cholesterol acyltransferase) (ACAT) (Monocyte/macrophage serine esterase) (HMSE) (Serine esterase 1) (Brain carboxylesterase hBr1) (Triacylglycerol hydrolase) (TGH) (Egasyn). [Source:Uniprot	RussLampel
ENSG00000198450	XP_067585.9	PREDICTED: similar to RIKEN cDNA E330026B02 [Source:RefSeq_peptide_predicted;Acc:XP_067585]	RussLampel
ENSG00000163788	NP_060189.2	SNF related kinase [Source:RefSeq_peptide;Acc:NP_060189]	RussLampel
ENSG00000188488	SERPINA5	Plasma serine protease inhibitor precursor (PCI) (Protein C inhibitor) (Plasminogen activator inhibitor-3) (PAI3) (Acrosomal serine protease inhibitor). [Source:Uniprot/SWISSPROT;Acc:P05154]	RussLampel
ENSG00000173585	CCR9	C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (GPR-9- 6). [Source:Uniprot/SWISSPROT;Acc:P51686]	RussLampel
ENSG00000132196	HSD17B7	3-keto-steroid reductase (EC 1.1.1.270) (Estradiol 17-beta- dehydrogenase 7) (EC 1.1.1.62) (17-beta-HSD 7) (17-beta-hydroxysteroid dehydrogenase 7). [Source:Uniprot/SWISSPROT;Acc:P56937]	RussLampel
ENSG00000124181	PLCG1	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 1 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (PLC-gamma-1) (Phospholipase C-gamma-1) (PLC-II) (PLC-148). [Source:Uniprot/SWISSPROT;Acc:P19174]	RussLampel
ENSG00000164885	CDK5	Cell division protein kinase 5 (EC 2.7.1.37) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit) (Serine/threonine-protein kinase PSSALRE). [Source:Uniprot/SWISSPROT;Acc:Q00535]	RussLampel
ENSG00000155096	ODCI_HUMAN	Ornithine decarboxylase antizyme inhibitor. [Source:Uniprot/SWISSPROT;Acc:O14977]	RussLampel
ENSG00000113593	NP_056157.1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:RefSeq_peptide;Acc:NP_056157]	RussLampel
ENSG00000166851	PLK1	Serine/threonine-protein kinase PLK1 (EC 2.7.1.37) (Polo-like kinase 1) (PLK-1) (Serine-threonine protein kinase 13) (STPK13). [Source:Uniprot/SWISSPROT;Acc:P53350]	RussLampel
ENSG00000132915	PDE6A	Rod cGMP-specific 3',5'-cyclic phosphodiesterase alpha-subunit (EC 3.1.4.17) (GMP-PDE alpha) (PDE V-B1). [Source:Uniprot/SWISSPROT;Acc:P16499]	RussLampel
ENSG00000072315	TRPC5	Short transient receptor potential channel 5 (TrpC5) (Htrp-5) (Htrp5). [Source:Uniprot/SWISSPROT;Acc:Q9UL62]	RussLampel
ENSG00000015153	YAF2_HUMAN	YY1-associated factor 2. [Source:Uniprot/SWISSPROT;Acc:Q8IY57]	RussLampel
ENSG00000164904	ALDH7A1	Aldehyde dehydrogenase family 7 member A1 (EC 1.2.1.3) (Antiquitin 1). [Source:Uniprot/SWISSPROT;Acc:P49419]	RussLampel
ENSG00000185321	DRD5P2	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH22]	RussLampel
ENSG00000175143	OR2T1	Olfactory receptor 2T1 (Olfactory receptor 1-25) (OR1-25). [Source:Uniprot/SWISSPROT;Acc:O43869]	RussLampel
ENSG00000185074	N/A	N/A	RussLampel
ENSG00000138696	BMPR1B	Bone morphogenetic protein receptor type IB precursor (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:O00238]	RussLampel
ENSG00000146938	NLGN4X	Neuroligin 4, X linked precursor (Neuroligin X) (HNLX). [Source:Uniprot/SWISSPROT;Acc:Q8N0W4]	RussLampel
ENSG00000139572	GPR84	Probable G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33). [Source:Uniprot/SWISSPROT;Acc:Q9NQS5]	RussLampel
ENSG00000138166	DUSP5	Dual specificity protein phosphatase 5 (EC 3.1.3.48) (EC 3.1.3.16) (Dual specificity protein phosphatase hVH3). [Source:Uniprot/SWISSPROT;Acc:Q16690]	RussLampel
ENSG00000109919	MTCH2	Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein). [Source:Uniprot/SWISSPROT;Acc:Q9Y6C9]	RussLampel
ENSG00000178950	GAK	Cyclin G-associated kinase (EC 2.7.1.-). [Source:Uniprot/SWISSPROT;Acc:O14976]	RussLampel
ENSG00000173679	OR1L1	Olfactory receptor 1L1 (Olfactory receptor 9-C) (OR9-C). [Source:Uniprot/SWISSPROT;Acc:Q8NH94]	RussLampel
ENSG00000185861	XP_377444.2	PREDICTED: similar to peptidylprolyl isomerase A isoform 1; cyclophilin A; peptidyl-prolyl cis-trans isomerase A; T cell cyclophilin; rotamase; cyclosporin A-binding protein [Source:RefSeq_peptide_predicted;Acc:XP_377444]	RussLampel
ENSG00000198657	OR8B4	Olfactory receptor 8B4. [Source:Uniprot/SWISSPROT;Acc:Q96RC9]	RussLampel
ENSG00000179170	N/A	N/A	RussLampel
ENSG00000077092	RARB	Retinoic acid receptor beta (RAR-beta) (RAR-epsilon) (HBV-activated protein). [Source:Uniprot/SWISSPROT;Acc:P10826]	RussLampel
ENSG00000182255	KCNA4	Potassium voltage-gated channel subfamily A member 4 (Voltage-gated potassium channel subunit Kv1.4) (HK1) (HPCN2) (HBK4) (HUKII). [Source:Uniprot/SWISSPROT;Acc:P22459]	RussLampel
ENSG00000148408	CACNA1B	Voltage-dependent N-type calcium channel alpha-1B subunit (Voltage- gated calcium channel alpha subunit Cav2.2) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Brain calcium channel III) (BIII). [Source:Uniprot/SWISSPROT;Acc:Q00975]	RussLampel
ENSG00000176253	OR4K13	Olfactory receptor 4K13. [Source:Uniprot/SWISSPROT;Acc:Q8NH42]	RussLampel
ENSG00000042832	TG	Thyroglobulin precursor. [Source:Uniprot/SWISSPROT;Acc:P01266]	RussLampel
ENSG00000172830	SSH3	slingshot homolog 3 [Source:RefSeq_peptide;Acc:NP_060327]	RussLampel
ENSG00000196137	N/A	N/A	RussLampel
ENSG00000187476	N/A	N/A	RussLampel
ENSG00000188782	CATSPER4	cation channel, sperm associated 4 [Source:RefSeq_peptide;Acc:NP_937770]	RussLampel
ENSG00000163558	PRKCI	Protein kinase C, iota type (EC 2.7.1.37) (nPKC-iota) (Atypical protein kinase C-lambda/iota) (aPKC-lambda/iota) (PRKC-lambda/iota). [Source:Uniprot/SWISSPROT;Acc:P41743]	RussLampel
ENSG00000135437	RDH5	11-cis retinol dehydrogenase (EC 1.1.1.105) (11-cis RDH). [Source:Uniprot/SWISSPROT;Acc:Q92781]	RussLampel
ENSG00000129467	ADCY4	Adenylate cyclase, type IV (EC 4.6.1.1) (ATP pyrophosphate-lyase 4) (Adenylyl cyclase 4). [Source:Uniprot/SWISSPROT;Acc:Q8NFM4]	RussLampel
ENSG00000173327	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:RefSeq_peptide;Acc:NP_002410]	RussLampel
ENSG00000167004	PDIA3_HUMAN	Protein disulfide-isomerase A3 precursor (EC 5.3.4.1) (Disulfide isomerase ER-60) (ERp60) (58 kDa microsomal protein) (p58) (ERp57) (58 kDa glucose regulated protein). [Source:Uniprot/SWISSPROT;Acc:P30101]	RussLampel
ENSG00000150093	ITGB1	Integrin beta-1 precursor (Fibronectin receptor beta subunit) (CD29 antigen) (Integrin VLA-4 beta subunit). [Source:Uniprot/SWISSPROT;Acc:P05556]	RussLampel
ENSG00000134817	AGTRL1	Apelin receptor (G-protein coupled receptor APJ) (Angiotensin receptor-like 1) (HG11). [Source:Uniprot/SWISSPROT;Acc:P35414]	RussLampel
ENSG00000172009	THOP1	Thimet oligopeptidase (EC 3.4.24.15) (Endopeptidase 24.15) (MP78). [Source:Uniprot/SWISSPROT;Acc:P52888]	RussLampel
ENSG00000198666	O95724_HUMAN	Reverse transcriptase (Fragment). [Source:Uniprot/SPTREMBL;Acc:O95724]	RussLampel
ENSG00000186867	GPR103	Orexigenic neuropeptide QRFP receptor (G-protein coupled receptor 103) (SP9155) (AQ27). [Source:Uniprot/SWISSPROT;Acc:Q96P65]	RussLampel
ENSG00000198605	GUSL2_HUMAN	Beta-glucuronidase-like protein SMA3. [Source:Uniprot/SWISSPROT;Acc:Q15486]	RussLampel
ENSG00000147044	CASK	Peripheral plasma membrane protein CASK (EC 2.7.1.-) (hCASK) (Calcium/calmodulin-dependent serine protein kinase) (Lin-2 homolog). [Source:Uniprot/SWISSPROT;Acc:O14936]	RussLampel
ENSG00000197582	GPX1	Glutathione peroxidase 1 (EC 1.11.1.9) (GSHPx-1) (Cellular glutathione peroxidase). [Source:Uniprot/SWISSPROT;Acc:P07203]	RussLampel
ENSG00000170745	KCNS3	Potassium voltage-gated channel subfamily S member 3 (Voltage-gated potassium channel subunit Kv9.3) (Delayed-rectifier K(+) channel alpha subunit 3). [Source:Uniprot/SWISSPROT;Acc:Q9BQ31]	RussLampel
ENSG00000108179	PPIF	Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin F). [Source:Uniprot/SWISSPROT;Acc:P30405]	RussLampel
ENSG00000197781	XP_372916.2	PREDICTED: similar to peptidyl-Pro cis trans isomerase [Source:RefSeq_peptide_predicted;Acc:XP_372916]	RussLampel
ENSG00000157106	NP_055907.3	PI-3-kinase-related kinase SMG-1 [Source:RefSeq_peptide;Acc:NP_055907]	RussLampel
ENSG00000183269	OR52E8	Olfactory receptor 52E6. [Source:Uniprot/SWISSPROT;Acc:Q96RD3]	RussLampel
ENSG00000013725	CD6	T-cell differentiation antigen CD6 precursor (T12) (TP120). [Source:Uniprot/SWISSPROT;Acc:P30203]	RussLampel
ENSG00000131050	SPLC2_HUMAN	Short palate, lung and nasal epithelium carcinoma associated protein 2 precursor (Parotid secretory protein) (PSP). [Source:Uniprot/SWISSPROT;Acc:Q96DR5]	RussLampel
ENSG00000176938	O60411_HUMAN	N/A	RussLampel
ENSG00000145476	NM_207352.2	cytochrome P450, family 4, subfamily V, polypeptide 2 (CYP4V2), mRNA [Source:RefSeq_dna;Acc:NM_207352]	RussLampel
ENSG00000123505	AMD1	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50) (AdoMetDC) (SamDC) [Contains: S-adenosylmethionine decarboxylase alpha chain; S- adenosylmethionine decarboxylase beta chain]. [Source:Uniprot/SWISSPROT;Acc:P17707]	RussLampel
ENSG00000182750	N/A	N/A	RussLampel
ENSG00000164294	NP_001008398.1	N/A	RussLampel
ENSG00000107159	CA9	Carbonic anhydrase IX precursor (EC 4.2.1.1) (Carbonate dehydratase IX) (CA-IX) (CAIX) (Membrane antigen MN) (P54/58N) (Renal cell carcinoma-associated antigen G250) (RCC-associated antigen G250) (pMW1). [Source:Uniprot/SWISSPROT;Acc:Q16790]	RussLampel
ENSG00000177542	SLC25A22	Mitochondrial glutamate carrier 1 (Glutamate/H(+) symporter 1) (Solute carrier family 25, member 22). [Source:Uniprot/SWISSPROT;Acc:Q9H936]	RussLampel
ENSG00000104856	RELB	Transcription factor RelB (I-Rel). [Source:Uniprot/SWISSPROT;Acc:Q01201]	RussLampel
ENSG00000154975	CA10	Carbonic anhydrase-related protein 10 (Carbonic anhydrase-related protein X) (CARP X) (CA-RP X) (Cerebral protein-15). [Source:Uniprot/SWISSPROT;Acc:Q9NS85]	RussLampel
ENSG00000196098	NP_001005517.1	olfactory receptor, family 5, subfamily K, member 4 [Source:RefSeq_peptide;Acc:NP_001005517]	RussLampel
ENSG00000165449	SLC16A9	solute carrier family 16 (monocarboxylic acid transporters), member 9 [Source:RefSeq_peptide;Acc:NP_919274]	RussLampel
ENSG00000183303	OR5P2	Olfactory receptor 5P2 (Olfactory receptor-like protein JCG3). [Source:Uniprot/SWISSPROT;Acc:Q8WZ92]	RussLampel
ENSG00000179403	NP_954572.1	von Willebrand factor A domain-related protein isoform 2 [Source:RefSeq_peptide;Acc:NP_954572]	RussLampel
ENSG00000153201	RANBP2	Ran-binding protein 2 (RanBP2) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (358 kDa nucleoporin) (P270). [Source:Uniprot/SWISSPROT;Acc:P49792]	RussLampel
ENSG00000135424	ITGA7	Integrin alpha-7 precursor [Contains: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain]. [Source:Uniprot/SWISSPROT;Acc:Q13683]	RussLampel
ENSG00000157404	KIT	Mast/stem cell growth factor receptor precursor (EC 2.7.1.112) (SCFR) (Proto-oncogene tyrosine-protein kinase Kit) (c-kit) (CD117 antigen). [Source:Uniprot/SWISSPROT;Acc:P10721]	RussLampel
ENSG00000182771	GRID1	Glutamate receptor delta-1 subunit precursor (GluR delta-1). [Source:Uniprot/SWISSPROT;Acc:Q9ULK0]	RussLampel
ENSG00000139144	PIK3C2G	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing gamma polypeptide (EC 2.7.1.154) (Phosphoinositide 3-Kinase-C2-gamma) (PtdIns-3-kinase C2 gamma) (PI3K-C2gamma). [Source:Uniprot/SWISSPROT;Acc:O75747]	RussLampel
ENSG00000158516	CPA2	Carboxypeptidase A2 precursor (EC 3.4.17.15). [Source:Uniprot/SWISSPROT;Acc:P48052]	RussLampel
ENSG00000072736	NFATC3	Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (T cell transcription factor NFAT4) (NF-AT4) (NFATx). [Source:Uniprot/SWISSPROT;Acc:Q12968]	RussLampel
ENSG00000149084	HSD17B12	steroid dehydrogenase homolog [Source:RefSeq_peptide;Acc:NP_057226]	RussLampel
ENSG00000111802	TTRAP	TRAF and TNF receptor associated protein (ETS1-associated protein 2) (ETS1-associated protein II) (EAPII). [Source:Uniprot/SWISSPROT;Acc:O95551]	RussLampel
ENSG00000128655	NP_058649.2	phosphodiesterase 11A [Source:RefSeq_peptide;Acc:NP_058649]	RussLampel
ENSG00000184588	PDE4B	cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.17) (DPDE4) (PDE32). [Source:Uniprot/SWISSPROT;Acc:Q07343]	RussLampel
ENSG00000122012	SV2C	N/A	RussLampel
ENSG00000196454	N/A	N/A	RussLampel
ENSG00000148680	HTR7	5-hydroxytryptamine 7 receptor (5-HT-7) (Serotonin receptor 7) (5-HT- X) (5HT7). [Source:Uniprot/SWISSPROT;Acc:P34969]	RussLampel
ENSG00000082146	ALS2CR2	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 [Source:RefSeq_peptide;Acc:NP_061041]	RussLampel
ENSG00000173262	SLC2A14	glucose transporter 14 [Source:RefSeq_peptide;Acc:NP_703150]	RussLampel
ENSG00000197496	SLC2A10	Solute carrier family 2, facilitated glucose transporter, member 10 (Glucose transporter type 10). [Source:Uniprot/SWISSPROT;Acc:O95528]	RussLampel
ENSG00000100949	RABGGTA	Geranylgeranyl transferase type II alpha subunit (EC 2.5.1.60) (Rab geranylgeranyltransferase alpha subunit) (Rab geranyl- geranyltransferase alpha subunit) (Rab GG transferase alpha) (Rab GGTase alpha). [Source:Uniprot/SWISSPROT;Acc:Q92696]	RussLampel
ENSG00000139547	NP_003699.2	microsomal NAD+-dependent retinol dehydrogenase 4 [Source:RefSeq_peptide;Acc:NP_003699]	RussLampel
ENSG00000149554	CHEK1	Serine/threonine-protein kinase Chk1 (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:O14757]	RussLampel
ENSG00000133019	CHRM3	Muscarinic acetylcholine receptor M3. [Source:Uniprot/SWISSPROT;Acc:P20309]	RussLampel
ENSG00000086015	MAST2	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:Q6P0Q8]	RussLampel
ENSG00000180409	Q8NHC2_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NHC2]	RussLampel
ENSG00000169418	NPR1	Atrial natriuretic peptide receptor A precursor (ANP-A) (ANPRA) (GC-A) (Guanylate cyclase) (EC 4.6.1.2) (NPR-A) (Atrial natriuretic peptide A-type receptor). [Source:Uniprot/SWISSPROT;Acc:P16066]	RussLampel
ENSG00000149418	ST14	Suppressor of tumorigenicity 14 (EC 3.4.21.-) (Matriptase) (Membrane- type serine protease 1) (MT-SP1) (Prostamin) (Serine protease TADG-15) (Tumor associated differentially-expressed gene-15 protein). [Source:Uniprot/SWISSPROT;Acc:Q9Y5Y6]	RussLampel
ENSG00000181689	OR8K3	Olfactory receptor 8K3. [Source:Uniprot/SWISSPROT;Acc:Q8NH51]	RussLampel
ENSG00000188314	Q8NH33_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH33]	RussLampel
ENSG00000187553	CYP26C1	cytochrome P450, family 26, subfamily C, polypeptide 1 [Source:RefSeq_peptide;Acc:NP_899230]	RussLampel
ENSG00000173636	PRSS1	Trypsin I precursor (EC 3.4.21.4) (Cationic trypsinogen). [Source:Uniprot/SWISSPROT;Acc:P07477]	RussLampel
ENSG00000151617	EDNRA	Endothelin-1 receptor precursor (Endothelin A receptor) (ET-A) (hET- AR) (ETA-R). [Source:Uniprot/SWISSPROT;Acc:P25101]	RussLampel
ENSG00000177693	OR4F5	Olfactory receptor 4F5. [Source:Uniprot/SWISSPROT;Acc:Q8NH21]	RussLampel
